rotation, time
Symbol of Vengeance, Time: 0s
Zealot's Flame, Time: 0.6s
Flame Rush, Time: 0s
Glacial Heart, Time: 0.048s
Tome of Justice, Time: 0.239s
Weapon Swap, Time: 0.24s
Purging Flames, Time: 0.241s
Epilogue: Ashes of the Just, Time: 0.56s
Chapter 2: Igniting Burst, Time: 1.44s
Flame Rush, Time: 1.44s
Chapter 4: Scorched Aftermath, Time: 2.048s
Weapon Swap, Time: 2.24s
Blazing Edge, Time: 2.96s
Glacial Heart, Time: 3.44s
Zealot's Fire, Time: 3.488s
Zealot's Fire, Time: 4.16s
Core Cleave, Time: 4.848s
Bleeding Edge, Time: 5.488s
Searing Slash, Time: 6.16s
Symbol of Vengeance, Time: 6.88s
Glacial Heart, Time: 7.568s
Core Cleave, Time: 7.68s
Flame Rush, Time: 8.288s
Bleeding Edge, Time: 8.448s
Searing Slash, Time: 9.12s
Core Cleave, Time: 9.76s
Zealot's Flame, Time: 9.92s
Zealot's Flame, Time: 10.128s
Bleeding Edge, Time: 10.4s
Searing Slash, Time: 11.088s
Core Cleave, Time: 11.728s
Bleeding Edge, Time: 12.368s
Searing Slash, Time: 13.04s
Blazing Edge, Time: 13.808s
Glacial Heart, Time: 14.288s
Zealot's Fire, Time: 14.32s
Zealot's Fire, Time: 15.008s
Symbol of Vengeance, Time: 15.68s
Tome of Justice, Time: 15.999s
Weapon Swap, Time: 16s
Flame Rush, Time: 16.16s
Glacial Heart, Time: 16.368s
Chapter 4: Scorched Aftermath, Time: 16.48s
Purging Flames, Time: 17.408s
Epilogue: Ashes of the Just, Time: 17.728s
Chapter 2: Igniting Burst, Time: 18.608s
Weapon Swap, Time: 18.72s
Core Cleave, Time: 19.2s
Bleeding Edge, Time: 19.84s
Zealot's Flame, Time: 20s
Zealot's Flame, Time: 20.32s
Searing Slash, Time: 20.528s
Core Cleave, Time: 21.168s
Bleeding Edge, Time: 21.808s
Searing Slash, Time: 22.48s
Symbol of Vengeance, Time: 23.248s
Flame Rush, Time: 23.888s
Glacial Heart, Time: 23.92s
Zealot's Fire, Time: 24.048s
Zealot's Fire, Time: 24.72s
Blazing Edge, Time: 25.408s
Tome of Justice, Time: 25.567s
Weapon Swap, Time: 25.568s
Glacial Heart, Time: 25.888s
Chapter 2: Igniting Burst, Time: 25.92s
Weapon Swap, Time: 26.288s
Core Cleave, Time: 26.528s
Bleeding Edge, Time: 27.168s
Searing Slash, Time: 27.84s
Core Cleave, Time: 28.48s
Bleeding Edge, Time: 29.12s
Searing Slash, Time: 29.808s
Zealot's Flame, Time: 30.16s
Core Cleave, Time: 30.448s
Zealot's Flame, Time: 30.448s
Bleeding Edge, Time: 31.088s
Flame Rush, Time: 31.568s
Searing Slash, Time: 31.76s
Symbol of Vengeance, Time: 32.448s
Glacial Heart, Time: 33.12s
Zealot's Fire, Time: 33.248s
Zealot's Fire, Time: 33.92s
Tome of Justice, Time: 34.047s
Weapon Swap, Time: 34.048s
Purging Flames, Time: 34.608s
Epilogue: Ashes of the Just, Time: 34.928s
Chapter 4: Scorched Aftermath, Time: 35.808s
Chapter 2: Igniting Burst, Time: 36.72s
Weapon Swap, Time: 36.848s
Blazing Edge, Time: 37.328s
Glacial Heart, Time: 37.808s
