rotation, time
Symbol of Vengeance, Time: -0.201s
Zealot's Flame, Time: 0.482s
Tome of Justice, Time: 0.601s
Purging Flames, Time: 0.603s
Chapter 4: Scorched Aftermath, Time: 0.918s
Epilogue: Ashes of the Just, Time: 1.838s
Flame Rush, Time: 1.878s
Chapter 2: Igniting Burst, Time: 2.719s
Weapon Swap, Time: 2.959s
Zealot's Fire, Time: 3.319s
Zealot's Fire, Time: 3.999s
Flame Rush, Time: 4.279s
Core Cleave, Time: 4.679s
Bleeding Edge, Time: 5.316s
Searing Slash, Time: 5.996s
Blazing Edge, Time: 6.676s
Glacial Heart, Time: 7.16s
Symbol of Vengeance, Time: 7.196s
Core Cleave, Time: 7.999s
Bleeding Edge, Time: 8.639s
Searing Slash, Time: 9.319s
Zealot's Flame, Time: 9.839s
Core Cleave, Time: 9.959s
Flame Rush, Time: 10.479s
Bleeding Edge, Time: 10.599s
Zealot's Flame, Time: 10.879s
Searing Slash, Time: 11.279s
Zealot's Fire, Time: 11.919s
Zealot's Fire, Time: 12.599s
Core Cleave, Time: 13.559s
Bleeding Edge, Time: 14.199s
Searing Slash, Time: 14.879s
Symbol of Vengeance, Time: 15.519s
Core Cleave, Time: 16.319s
Bleeding Edge, Time: 16.959s
Searing Slash, Time: 17.639s
Purging Flames, Time: 18.316s
Tome of Justice, Time: 18.679s
Chapter 4: Scorched Aftermath, Time: 18.916s
Epilogue: Ashes of the Just, Time: 19.84s
Flame Rush, Time: 20.04s
Chapter 2: Igniting Burst, Time: 20.72s
Weapon Swap, Time: 20.92s
Zealot's Flame, Time: 21.077s
Zealot's Flame, Time: 21.277s
Zealot's Fire, Time: 21.317s
Zealot's Fire, Time: 21.997s
Core Cleave, Time: 22.681s
Bleeding Edge, Time: 23.321s
Searing Slash, Time: 24.001s
Symbol of Vengeance, Time: 24.637s
Blazing Edge, Time: 25.437s
Glacial Heart, Time: 25.921s
Flame Rush, Time: 25.961s
Core Cleave, Time: 26.077s
Bleeding Edge, Time: 26.717s
Searing Slash, Time: 27.397s
Tome of Justice, Time: 28.08s
Chapter 2: Igniting Burst, Time: 28.277s
Weapon Swap, Time: 28.801s
Core Cleave, Time: 28.957s
Bleeding Edge, Time: 29.601s
Searing Slash, Time: 30.278s
Core Cleave, Time: 30.918s
Zealot's Flame, Time: 30.998s
Bleeding Edge, Time: 31.558s
Zealot's Flame, Time: 32.038s
Searing Slash, Time: 32.238s
Zealot's Fire, Time: 32.878s
Zealot's Fire, Time: 33.558s
Symbol of Vengeance, Time: 34.242s
Flame Rush, Time: 35.002s
Purging Flames, Time: 35.238s
Tome of Justice, Time: 35.561s
Chapter 4: Scorched Aftermath, Time: 35.918s
Chapter 2: Igniting Burst, Time: 36.842s
Epilogue: Ashes of the Just, Time: 37.438s
Weapon Swap, Time: 37.798s
Core Cleave, Time: 38.318s
Bleeding Edge, Time: 38.958s
Searing Slash, Time: 39.638s
Blazing Edge, Time: 40.278s
Glacial Heart, Time: 40.761s
Core Cleave, Time: 40.797s
Zealot's Flame, Time: 40.997s
Bleeding Edge, Time: 41.437s
Zealot's Flame, Time: 42.081s
Searing Slash, Time: 42.117s
Symbol of Vengeance, Time: 42.757s
Zealot's Fire, Time: 43.557s
Zealot's Fire, Time: 44.237s
Flame Rush, Time: 44.597s
Core Cleave, Time: 44.921s
Bleeding Edge, Time: 45.557s
Searing Slash, Time: 46.237s
Core Cleave, Time: 46.881s
Bleeding Edge, Time: 47.517s
Searing Slash, Time: 48.197s
Flame Rush, Time: 48.717s
Core Cleave, Time: 48.837s
Bleeding Edge, Time: 49.477s
Searing Slash, Time: 50.157s
Symbol of Vengeance, Time: 50.797s
Zealot's Flame, Time: 51.481s
Blazing Edge, Time: 51.601s
Glacial Heart, Time: 52.077s
Purging Flames, Time: 52.117s
Tome of Justice, Time: 52.36s
Chapter 4: Scorched Aftermath, Time: 52.597s
Zealot's Flame, Time: 53.041s
Chapter 2: Igniting Burst, Time: 53.518s
Epilogue: Ashes of the Just, Time: 54.518s
Weapon Swap, Time: 54.958s
Zealot's Fire, Time: 55.398s
Zealot's Fire, Time: 56.078s
Flame Rush, Time: 56.958s
Core Cleave, Time: 57.078s
Bleeding Edge, Time: 57.718s
Searing Slash, Time: 58.398s
Symbol of Vengeance, Time: 59.038s
Core Cleave, Time: 59.838s
Bleeding Edge, Time: 60.478s
Searing Slash, Time: 61.158s
Zealot's Flame, Time: 61.277s
Core Cleave, Time: 61.797s
Bleeding Edge, Time: 62.437s
Zealot's Flame, Time: 63.077s
Searing Slash, Time: 63.117s
Tome of Justice, Time: 63.676s
Chapter 2: Igniting Burst, Time: 63.917s
Weapon Swap, Time: 64.517s
Core Cleave, Time: 64.677s
Zealot's Fire, Time: 65.436s
Zealot's Fire, Time: 66.116s
Symbol of Vengeance, Time: 66.796s
Blazing Edge, Time: 67.596s
Glacial Heart, Time: 68.08s
Flame Rush, Time: 68.12s
Core Cleave, Time: 68.24s
Bleeding Edge, Time: 68.876s
Searing Slash, Time: 69.559s
Purging Flames, Time: 70.319s
Zealot's Flame, Time: 70.919s
Tome of Justice, Time: 71.278s
Epilogue: Ashes of the Just, Time: 71.559s
Chapter 4: Scorched Aftermath, Time: 72.439s
Flame Rush, Time: 72.839s
Chapter 2: Igniting Burst, Time: 73.359s
Zealot's Flame, Time: 73.639s
Weapon Swap, Time: 73.959s
Zealot's Fire, Time: 74.079s
Zealot's Fire, Time: 74.759s
Symbol of Vengeance, Time: 75.439s
Core Cleave, Time: 76.239s
Bleeding Edge, Time: 76.879s
Searing Slash, Time: 77.559s
Core Cleave, Time: 78.199s
Bleeding Edge, Time: 78.839s
Flame Rush, Time: 79.359s
Searing Slash, Time: 79.519s
Core Cleave, Time: 80.159s
Bleeding Edge, Time: 80.799s
Zealot's Flame, Time: 80.879s
Searing Slash, Time: 81.479s
Core Cleave, Time: 82.119s
Zealot's Fire, Time: 82.879s
Symbol of Vengeance, Time: 83.556s
Zealot's Flame, Time: 84.24s
Blazing Edge, Time: 84.356s
Glacial Heart, Time: 84.84s
Core Cleave, Time: 84.88s
Bleeding Edge, Time: 85.516s
Searing Slash, Time: 86.196s
Zealot's Fire, Time: 86.84s
Flame Rush, Time: 87.48s
Purging Flames, Time: 87.52s
Tome of Justice, Time: 88.079s
Chapter 4: Scorched Aftermath, Time: 88.276s
Epilogue: Ashes of the Just, Time: 89.2s
Chapter 2: Igniting Burst, Time: 90.076s
Weapon Swap, Time: 90.56s
Zealot's Flame, Time: 90.72s
Core Cleave, Time: 90.997s
Symbol of Vengeance, Time: 91.757s
Zealot's Fire, Time: 92.557s
